test Subject,Train Accuracy,Train Loss,Accuracy,FOG Spec,FOG Sen,FOG F1,PreFOG Spec,PreFOG Sen,PreFOG F1
S01,88.601,0.316,89.047,97.773,17.073,21.875,95.496,6.522,2.752
S02,88.831,0.307,85.613,99.311,20.386,32.599,95.901,8.333,4.819
S03,89.791,0.297,79.988,93.029,33.739,40.291,98.098,1.02,1.242
S05,90.865,0.27,64.862,88.314,2.107,2.972,97.749,4.545,5.24
S06,88.648,0.307,89.544,99.354,5.323,9.428,96.614,10,2.963
S07,88.842,0.308,90.68,99.935,1.22,2.381,96.594,18.75,10.909
S08,90.114,0.285,59.049,90.026,12.655,17.989,83.223,32.143,6.207
S09,89.388,0.314,81.933,99.387,5.176,9.54,98.101,7.407,6.504
,,,,,,,,,
,89.385,0.3005,80.0895,95.891125,12.209875,17.134375,95.222,11.09,5.0795
